Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_NEW-MD-[PJ],0.24116633886820077,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,CON_COMB-GAS-[PJ],0.7843332550154714,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,CON_COMB-GSL-[PJ],0.0004844870638105234,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,CON_COMB-LPG-[PJ],0.1445187782431621,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,CON_COMB-MD-[PJ],0.005008781214833655,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,PROD_AGAS-CRU-[PJ],0.03827542890349304,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07,6.520000000000001e-07
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,WASTE_FLR-NOF-[PJ],0.025753747541397955,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,process,CON_COMB-DC-[PJ],0.0016255220178315692,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,solid-biofuel,PP_EX_OTH-OS1-[PJ],0.32898300227695026,0.005,0.005,0.005,0.005,0.005,0.005,0.005
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,solid-biofuel,PP_NEW-OS1-[PJ],0.6710169977230497,0.003,0.003,0.003,0.003,0.003,0.003,0.003
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,total-coal,PP_EX_L-HC1-[PJ],0.05964907001188683,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,total-coal,PP_EX_S-HC1-[PJ],0.0012144765606023804,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,total-coal,PP_MOD-HC1-[PJ],0.6617521565019636,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,total-coal,PP_NEW-DC-[PJ],0.01977554753547239,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,total-coal,PP_NEW_L-HC1-[PJ],0.25760874939007483,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,liquid-fuel-plus-natural-gas,IN_OC-GAS-[PJ],0.9840312133207748,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,liquid-fuel-plus-natural-gas,IN_OC-GSL-[PJ],0.00780859452297254,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,liquid-fuel-plus-natural-gas,IN_OC-LPG-[PJ],0.005895146595847744,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,liquid-fuel-plus-natural-gas,IN_OC-MD-[PJ],0.002265045560404977,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_CON-GAS-[PJ],0.18412309907627242,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Industry,process,IN_BO_CON-HF-[PJ],0.01724409100099674,0.00064,0.00064,0.00064,0.00064,0.00064,0.00064,0.00064
