Species,Fuel,Sector,Region,2014
ALD2,total-coal,ALD2_rcoo,IND,2.3857030037909317e-07
ALD2,total-coal,ALD2_rcoo,BRA,4.444245080752853e-11
ALD2,total-coal,ALD2_rcoo,AFR,7.696335417696712e-05
ALD2,total-coal,ALD2_rcoo,MES,1.9389154605302496e-10
ALD2,total-coal,ALD2_rcoo,LAM,1.1823645902160645e-07
ALD2,total-coal,ALD2_rcoo,REA,2.0843925672278226e-05
ALD2,total-coal,ALD2_rcoo,KOR,0.0
ALD2,total-coal,ALD2_rcoo,IDZ,0.0
ALD2,total-coal,ALD2_rcor,USA,1.8361244859581573e-07
ALD2,total-coal,ALD2_rcor,CAN,9.79449378069257e-06
ALD2,total-coal,ALD2_rcor,MEX,0.0
ALD2,total-coal,ALD2_rcor,JPN,9.0132965296378e-10
ALD2,total-coal,ALD2_rcor,ANZ,6.731598896111191e-07
ALD2,total-coal,ALD2_rcor,EUR,0.0007733738508875964
ALD2,total-coal,ALD2_rcor,ROE,0.00019334894194345377
ALD2,total-coal,ALD2_rcor,RUS,0.0001301847184684992
ALD2,total-coal,ALD2_rcor,ASI,2.850408467758865e-06
ALD2,total-coal,ALD2_rcor,CHN,0.019799230743610518
ALD2,total-coal,ALD2_rcor,IND,0.00462820278010661
ALD2,total-coal,ALD2_rcor,BRA,5.298052302835161e-09
ALD2,total-coal,ALD2_rcor,AFR,0.0019299785700999182
ALD2,total-coal,ALD2_rcor,MES,2.712525995046739e-06
ALD2,total-coal,ALD2_rcor,LAM,2.8835773074682714e-05
ALD2,total-coal,ALD2_rcor,REA,0.002317480236929505
ALD2,total-coal,ALD2_rcor,KOR,1.4749150493438927e-05
ALD2,total-coal,ALD2_rcor,IDZ,0.0
ALD2,total-coal,ALD2_road,USA,0.0
ALD2,total-coal,ALD2_road,CAN,0.0
ALD2,total-coal,ALD2_road,MEX,0.0
ALD2,total-coal,ALD2_road,JPN,0.0
ALD2,total-coal,ALD2_road,ANZ,0.0
ALD2,total-coal,ALD2_road,EUR,0.0
ALD2,total-coal,ALD2_road,ROE,0.0
ALD2,total-coal,ALD2_road,RUS,0.0
ALD2,total-coal,ALD2_road,ASI,0.0
ALD2,total-coal,ALD2_road,CHN,0.0
ALD2,total-coal,ALD2_road,IND,0.0
ALD2,total-coal,ALD2_road,BRA,0.0
ALD2,total-coal,ALD2_road,AFR,0.0
