Scenario,Species,Region,Inventory Sector,CEDS Fuel,R squared,m,gt,b,2000,2005,2010,2014,2015,2030,2050
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,liquid-fuel-plus-natural-gas,0.9478206831696462,0.6562661558927901,0.07677678573630439,0.776004303619271,1.4168235723376237,1.2433774991903486,1.1739830561313,1.0,0.956504235967175,0.8327257047556398,0.7935271204691225
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,process,0.03281129005599459,0.0748954492288833,0.2925468226824786,0.9987610067326561,1.0667588110950996,1.0694262159214534,0.9266176713129413,1.0,1.0183455821717644,0.9860594655505879,1.2122066363203388
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,solid-biofuel,-0.08165432094968272,0.03254057782042754,4.161908733397859,1.0000112782621104,1.0325518562973923,0.9971275428080643,0.9060697863450144,1.0,1.0234825534137464,1.0629463333291052,1.0628087942945033
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,total-coal,-0.5779618905244723,-0.0282233006975249,0.6478222173720769,0.9997906213662168,0.972006591259025,0.9813348356586618,0.9977908767876843,1.0,1.000552280803079,0.1993676943283602,0.1370547261678106
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,liquid-fuel-plus-natural-gas,0.8772838205438486,1.5414289214813566,0.0378556865609572,0.09265661319222908,1.493542023213935,1.4620909848525772,1.2395153214907915,1.0,0.9401211696273021,0.4377166027922888,0.44044096214770295
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,process,0.7829624649083614,0.9608767137745646,0.04121275909858203,0.46037107980630576,1.2917049145918753,1.3275790906406268,1.3281283770845334,1.0,0.9179679057288668,0.6489711555042308,0.6722081012675386
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,solid-biofuel,0.7291580040243955,0.02144625303503631,0.03284576379894615,0.9864593918745226,1.0041729171349347,1.0123832323453585,1.000119950637624,1.0,0.999970012340594,0.994936321342152,0.990970651165399
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,total-coal,-0.49924276779247334,0.03632519829873045,5.073031693656147,0.9998347901743416,1.0361599895563893,0.9790633071010924,0.9956095275889961,1.0,1.001097618102751,0.33894270752935907,0.32819254473331166
WEO2018_NPS_CLE_CH4b,SO2,AFR,Non-road transport,liquid-fuel-plus-natural-gas,0.9985472135661058,6.02836321439428,0.16567170625040167,0.4071766584062568,6.472777243725765,2.9173528076789625,1.4654048874166872,1.0,0.8836487781458283,0.4204744993384366,0.3452073007962235
WEO2018_NPS_CLE_CH4b,SO2,AFR,Other,liquid-fuel-plus-natural-gas,0.9931886403135672,4.469266823466877,0.14807522555448602,0.4377875269004759,4.827056010573882,2.845667340287893,1.3852615260426613,1.0,0.9036846184893348,0.5695659022167664,0.5543680865699797
WEO2018_NPS_CLE_CH4b,SO2,AFR,Residential,liquid-fuel-plus-natural-gas,0.7929966030761356,1.2800161770886607,0.1572451749277616,0.8584548326650968,2.0465645452359524,1.7456089929930383,1.290632817859515,1.0,0.9273417955351212,1.0770731494835553,0.8571970167227494
WEO2018_NPS_CLE_CH4b,SO2,AFR,Residential,solid-biofuel,-0.18908291148703293,0.00031831776837534895,4.564095606713664,1.0000010519074478,1.0003193720130104,0.9966638945835808,0.9982328468605137,1.0,1.0004417882848715,1.0046563568639424,1.005507130837601
WEO2018_NPS_CLE_CH4b,SO2,AFR,Residential,total-coal,-0.2510025888290195,0.002667121609444809,0.645198765282032,1.000084461090179,1.0025664689510514,1.0074653750856395,0.9984141386281685,1.0,1.000396465342958,1.1396268784598846,1.654907188760271
WEO2018_NPS_CLE_CH4b,SO2,AFR,Shipping,liquid-fuel-plus-natural-gas,0.9985472135661058,6.02836321439428,0.16567170625040167,0.4071766584062568,6.472777243725765,2.9173528076789625,1.4654048874166872,1.0,0.8836487781458283,0.4204744993384366,0.3452073007962235
WEO2018_NPS_CLE_CH4b,SO2,AFR,Transport,liquid-fuel-plus-natural-gas,0.9968563446173092,7.901627982214541,0.14765020181121305,4.782900902589721e-21,7.879900571536762,3.8543763742877526,1.6423149981785508,1.0,0.8394212504553624,0.061194016866516446,0.06126663539058497
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,liquid-fuel-plus-natural-gas,-0.25489762187393006,1.6473216712364724,0.2729451348402934,0.964296185094622,2.4892258792806734,2.153425141943799,1.080537610724106,1.0,0.9798655973189734,2.594403497014584,0.6789881946279055
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,process,-0.37225489725706806,-0.06305037341072961,0.2600710079795318,1.0016347334578901,0.9434663062278897,0.9647508420760931,0.9314580503842856,1.0,1.0171354874039287,0.9642237935173549,0.8991023350212898
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,solid-biofuel,0.2829130370564985,-0.06505835688169634,3.4336719393022004,1.0000072733799064,0.9349489061785405,1.0989417426242618,0.9718622915592355,1.0,1.0070344271101912,0.9946180992091765,1.0052045877210882
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,total-coal,0.9659750306237224,1.0248525403171282,0.018221628086864446,0.20590205263316352,1.1856926042599754,1.2074430881989748,1.0317355105753465,1.0,0.9920661223561634,0.7677534792819289,0.6327722876801036
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Industry,liquid-fuel-plus-natural-gas,0.6035548249333298,0.691669035780931,0.1767228166434846,0.9417774521025605,1.5622968332929978,1.4939479053084432,1.0502404109614487,1.0,0.9874398972596379,0.9095799262654737,1.2738027570901498
