MODEL,SCENARIO,REGION,VARIABLE,UNIT,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Energy Sector,Mt CO/yr,1.959307181,1.954308564,1.94462195,1.959686111,1.975178297,1.978245465,1.998862588,2.036966973,2.071682909,2.086102673
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Forest Burning,Mt CO/yr,21.41999142,13.20690448,0.377853297,14.63721046,0.180974679,0.240093938,1.549318342,1.407804263,1.818960361,0.745296783
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Grassland Burning,Mt CO/yr,11.86071553,12.46173175,12.59422321,10.69889955,10.29603681,10.09981696,9.711608377,9.397180583,8.812124795,8.343209008
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Industrial Sector,Mt CO/yr,4.364390556,4.538779692,4.184777235,4.453155807,4.04365314,3.268713305,2.499414994,1.864396393,1.531342904,1.221225103
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Residential Commercial Other,Mt CO/yr,1.654607126,0.96668745,0.448884193,0.340443377,0.195447551,0.10697187,0.070984712,0.057230085,0.041892365,0.028768671
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Transportation Sector,Mt CO/yr,4.598989445,4.090020391,1.254040896,0.598798994,0.162721135,0.045055627,0.023745577,0.015038724,0.009935255,0.007502818
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Waste,Mt CO/yr,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3,Mt NH3/yr,3.538154502,3.386322211,3.260960196,3.599835064,3.44267568,3.464585085,3.542627602,3.589417725,3.679228125,3.754526967
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Agricultural Waste Burning,Mt NH3/yr,0.017665044,0.018386683,0.02135968,0.026632127,0.02724818,0.028641436,0.031619611,0.033435953,0.035558633,0.037386261
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Agriculture,Mt NH3/yr,2.556419332,2.511349642,2.558736287,2.714007581,2.759604685,2.781212008,2.841983724,2.891962857,2.979661825,3.072502536
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Energy Sector,Mt NH3/yr,0.084721538,0.084721538,0.084721538,0.084721538,0.084721538,0.084721538,0.084721538,0.084721538,0.084721538,0.084721538
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Forest Burning,Mt NH3/yr,0.295545386,0.182222313,0.005213464,0.201956984,0.002497018,0.00331276,0.021376193,0.019424271,0.025097414,0.010283258
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Grassland Burning,Mt NH3/yr,0.115215655,0.121054488,0.12234168,0.103929286,0.100016712,0.098109797,0.094338989,0.091285559,0.085601169,0.081045828
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Industrial Sector,Mt NH3/yr,0.137280724,0.137280724,0.137280724,0.137280724,0.137280724,0.137280724,0.137280724,0.137280724,0.137280724,0.137280724
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Residential Commercial Other,Mt NH3/yr,0.046460277,0.046460277,0.046460277,0.046460277,0.046460277,0.046460277,0.046460277,0.046460277,0.046460277,0.046460277
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Transportation Sector,Mt NH3/yr,0.010725521,0.010725521,0.010725521,0.010725521,0.010725521,0.010725521,0.010725521,0.010725521,0.010725521,0.010725521
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NH3|Waste,Mt NH3/yr,0.274121025,0.274121025,0.274121025,0.274121025,0.274121025,0.274121025,0.274121025,0.274121025,0.274121025,0.274121025
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx,Mt NOx/yr,4.458996067,4.139752034,2.335324407,2.460062678,1.754082688,1.599172221,1.609279102,1.607403699,1.661885791,1.660973721
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Agricultural Waste Burning,Mt NOx/yr,0.049788767,0.051822698,0.060202062,0.075062409,0.076798745,0.080725624,0.089119579,0.094238925,0.100221682,0.105372837
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Agriculture,Mt NOx/yr,0.210900162,0.206688047,0.221887048,0.260098555,0.264346515,0.287039738,0.33110317,0.370468083,0.428387669,0.487575753
IMAGE,SSP1-19,BRA,CMIP6 Emissions|NOx|Energy Sector,Mt NOx/yr,0.552328838,0.427104474,0.148816744,0.2040856,0.168636841,0.115239188,0.123740562,0.155821713,0.20652824,0.232615569
