CEDS,Fuel,CEDSFuel,GAINS,Item,Element,Units
Energy,total-coal,total-coal,PP_NEW-DC-[PJ],,,
Energy,total-coal,total-coal,PP_NEW_L-BC1-[PJ],,,
Energy,total-coal,total-coal,PP_NEW_L-BC2-[PJ],,,
Energy,total-coal,total-coal,PP_NEW_L-HC1-[PJ],,,
Energy,total-coal,total-coal,PP_NEW_L-HC2-[PJ],,,
Energy,total-coal,total-coal,PP_NEW_L-HC3-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CHEM-GAS-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CHEM-GSL-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CHEM-HF-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CHEM-LPG-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CHEM-MD-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CON-GAS-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CON-GSL-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CON-HF-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CON-LPG-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_CON-MD-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_OTH-GAS-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_OTH-GSL-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_OTH-HF-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_OTH-LPG-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_OTH-MD-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_PAP-GAS-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_PAP-HF-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,process,IN_BO_PAP-LPG-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,IN_OC-GAS-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,IN_OC-GSL-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,IN_OC-HF-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,IN_OC-LPG-[PJ],,,
Industry,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,IN_OC-MD-[PJ],,,
Industry,process,process,IO_NH3_EMISS-NOF-[kt NH3],,,
Industry,solid-biofuel,process,IN_BO_CHEM-OS1-[PJ],,,
Industry,solid-biofuel,process,IN_BO_CHEM-OS2-[PJ],,,
Industry,solid-biofuel,process,IN_BO_CON-OS1-[PJ],,,
Industry,solid-biofuel,process,IN_BO_CON-OS2-[PJ],,,
Industry,solid-biofuel,process,IN_BO_OTH-OS1-[PJ],,,
Industry,solid-biofuel,process,IN_BO_OTH-OS2-[PJ],,,
Industry,solid-biofuel,process,IN_BO_PAP-OS1-[PJ],,,
Industry,solid-biofuel,process,IN_BO_PAP-OS2-[PJ],,,
Industry,solid-biofuel,solid-biofuel,IN_OC-OS1-[PJ],,,
Industry,solid-biofuel,solid-biofuel,IN_OC-OS2-[PJ],,,
Industry,total-coal,process,IN_BO_CHEM-BC1-[PJ],,,
Industry,total-coal,process,IN_BO_CHEM-DC-[PJ],,,
Industry,total-coal,process,IN_BO_CHEM-HC1-[PJ],,,
Industry,total-coal,process,IN_BO_CHEM-HC2-[PJ],,,
Industry,total-coal,process,IN_BO_CHEM-HC3-[PJ],,,
Industry,total-coal,process,IN_BO_CON-BC1-[PJ],,,
Industry,total-coal,process,IN_BO_CON-DC-[PJ],,,
Industry,total-coal,process,IN_BO_CON-HC1-[PJ],,,
Industry,total-coal,process,IN_BO_CON-HC3-[PJ],,,
Industry,total-coal,process,IN_BO_OTH-DC-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_L-BC1-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_L-BC2-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_L-HC1-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_L-HC2-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_L-HC3-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_S-BC1-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_S-HC1-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_S-HC2-[PJ],,,
Industry,total-coal,process,IN_BO_OTH_S-HC3-[PJ],,,
Industry,total-coal,process,IN_BO_PAP-BC1-[PJ],,,
Industry,total-coal,process,IN_BO_PAP-DC-[PJ],,,
Industry,total-coal,process,IN_BO_PAP-HC1-[PJ],,,
Industry,total-coal,process,IN_BO_PAP-HC3-[PJ],,,
Industry,total-coal,total-coal,IN_OC-BC1-[PJ],,,
Industry,total-coal,total-coal,IN_OC-BC2-[PJ],,,
Industry,total-coal,total-coal,IN_OC-DC-[PJ],,,
Industry,total-coal,total-coal,IN_OC-HC1-[PJ],,,
Industry,total-coal,total-coal,IN_OC-HC2-[PJ],,,
Industry,total-coal,total-coal,IN_OC-HC3-[PJ],,,
Non-road transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_INW-GSL-[PJ],,,
Non-road transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_INW-MD-[PJ],,,
Non-road transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_RAI-GSL-[PJ],,,
Non-road transport,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_RAI-MD-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_AGR-GSL-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_AGR-LPG-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_AGR-MD-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_CNS-GAS-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_CNS-GSL-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_CNS-LPG-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_CNS-MD-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_LB-GAS-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_LB-GSL-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_LB-LPG-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_LB-MD-[PJ],,,
Other,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,TRA_OT_LD2-GSL-[PJ],,,
Residential,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM-GAS-[PJ],,,
Residential,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM-GSL-[PJ],,,
Residential,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM-HF-[PJ],,,
Residential,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,DOM-LPG-[PJ],,,
